Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000037509,209,12,179,11
ENSMUSG00000102537,0,0,0,0
ENSMUSG00000102612,0,5,0,5
ENSMUSG00000118272,0,0,0,0
ENSMUSG00000104002,20,0,19,1
ENSMUSG00000037503,3690,1436,3666,1877
ENSMUSG00000104358,22,0,33,0
ENSMUSG00000026123,2126,1316,2167,1658
ENSMUSG00000103716,0,21,0,16
ENSMUSG00000103548,12,4,20,3
ENSMUSG00000103760,1,0,0,3
ENSMUSG00000103997,0,0,0,0
ENSMUSG00000077231,0,0,0,0
ENSMUSG00000104417,0,0,0,0
ENSMUSG00000064601,0,0,0,0
ENSMUSG00000101714,0,0,0,0
ENSMUSG00000102531,0,0,0,0
ENSMUSG00000103096,0,0,0,0
ENSMUSG00000102279,0,0,0,0
ENSMUSG00000103708,0,0,0,0
ENSMUSG00000104201,0,0,0,0
ENSMUSG00000102434,0,0,0,0
ENSMUSG00000045216,2723,639,2880,857
ENSMUSG00000104523,0,0,0,0
ENSMUSG00000102202,27,0,23,2
ENSMUSG00000037470,3407,1849,3234,2239
ENSMUSG00000098752,2,0,0,0
ENSMUSG00000047180,870,50,825,56
ENSMUSG00000037447,64,62,80,92
ENSMUSG00000102762,1,0,1,0
ENSMUSG00000010453,1286,540,1218,732
ENSMUSG00000098680,0,0,0,0
ENSMUSG00000037432,174,16,199,12
ENSMUSG00000001143,604,283,601,395
ENSMUSG00000037408,316,185,266,268
ENSMUSG00000104316,4,0,2,0
ENSMUSG00000001138,658,676,677,911
ENSMUSG00000102845,0,0,0,0
ENSMUSG00000067653,49,1,39,4
ENSMUSG00000109510,0,0,0,0
ENSMUSG00000079610,177,36,160,55
ENSMUSG00000026121,871,5474,825,6440
ENSMUSG00000087589,26,67,22,82
ENSMUSG00000046337,3,82,6,54
ENSMUSG00000089906,0,2,0,2
ENSMUSG00000061518,179,29,168,43
ENSMUSG00000037351,1683,9706,1683,11948
ENSMUSG00000102416,1,0,0,2
ENSMUSG00000104237,2,0,0,0
ENSMUSG00000026117,16,0,6,0
ENSMUSG00000097291,0,0,0,0
ENSMUSG00000026116,3473,651,3219,853
ENSMUSG00000103016,2,0,0,0
ENSMUSG00000102930,0,0,0,0
ENSMUSG00000103159,8,0,6,0
ENSMUSG00000080054,4,9,5,10
ENSMUSG00000119706,0,0,0,0
ENSMUSG00000050122,0,0,0,0
ENSMUSG00000103603,0,0,0,0
ENSMUSG00000026114,24,0,27,0
ENSMUSG00000102231,0,0,0,0
ENSMUSG00000026113,611,585,678,632
ENSMUSG00000086064,0,0,0,1
ENSMUSG00000102879,0,0,0,0
ENSMUSG00000026112,1924,213,2006,289
ENSMUSG00000026111,447,100,445,146
ENSMUSG00000026110,1520,55,1469,64
ENSMUSG00000103948,2,0,7,3
ENSMUSG00000087233,6,23,3,24
ENSMUSG00000026090,11,1,4,1
ENSMUSG00000089767,0,0,0,0
ENSMUSG00000104365,0,0,0,0
ENSMUSG00000102650,0,0,0,0
ENSMUSG00000060771,105,50,108,69
ENSMUSG00000097268,0,0,0,0
ENSMUSG00000037216,78,5,70,5
ENSMUSG00000026088,324,61,266,79
ENSMUSG00000026087,814,88,754,71
ENSMUSG00000061584,0,0,0,0
ENSMUSG00000087374,0,0,0,0
ENSMUSG00000026085,0,0,0,0
ENSMUSG00000058407,531,124,474,125
ENSMUSG00000026083,2294,1585,2002,1978
ENSMUSG00000026082,586,218,610,304
ENSMUSG00000103804,12,3,20,3
ENSMUSG00000102716,0,0,0,0
ENSMUSG00000037138,0,499,0,640
ENSMUSG00000085391,0,0,0,0
ENSMUSG00000085280,0,0,0,0
ENSMUSG00000087131,0,2,0,0
ENSMUSG00000102984,0,0,0,0
ENSMUSG00000119889,0,0,0,0
ENSMUSG00000102541,0,0,0,0
ENSMUSG00000103531,0,0,0,0
ENSMUSG00000048814,0,24,0,17
ENSMUSG00000026080,324,39,300,47
ENSMUSG00000103647,2,0,0,0
ENSMUSG00000102447,0,0,0,0
ENSMUSG00000067604,0,0,0,0
ENSMUSG00000026078,542,190,493,228
ENSMUSG00000103046,26,0,13,0
ENSMUSG00000104188,0,0,0,0
ENSMUSG00000103182,1,0,1,0
ENSMUSG00000098833,0,0,0,0
ENSMUSG00000026077,0,32,0,32
ENSMUSG00000092553,0,0,0,0
ENSMUSG00000092563,0,41,0,47
ENSMUSG00000073702,31,87,38,108
ENSMUSG00000003134,220,30,223,18
ENSMUSG00000102607,0,0,0,0
ENSMUSG00000065629,0,0,0,0
ENSMUSG00000003135,812,265,824,270
ENSMUSG00000085894,71,7,86,1
ENSMUSG00000077704,15,7,18,2
ENSMUSG00000048234,1146,283,1211,353
ENSMUSG00000064936,2,0,2,0
ENSMUSG00000102471,1,3,0,3
ENSMUSG00000050967,2,0,1,0
ENSMUSG00000097083,0,0,0,0
ENSMUSG00000057173,1,1,2,32
ENSMUSG00000091937,0,0,0,0
ENSMUSG00000101634,0,0,0,0
ENSMUSG00000026074,3683,13461,3834,17165
ENSMUSG00000102985,0,0,0,0
